Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2458.5,3,Blueberry Almond Butter Protein Smoothie,Peaches and Almond Butter on Toast,Protein Yogurt and Blueberries,,
2458.5,4,Breakfast Burrito,Peaches & Almond Butter on Toast,Sunrise Peanut Butter Berry Protein Smoothie,Pineapple & Avocado Salad,
2458.5,5,Protein Silver Dollar Blueberry Pancakes,Apples and Almond Butter on Toast,Hummus Avocado Toast,"Smoked Salmon, Brie, and Cucumber Bites",Greek Yogurt and Fruit Salad
2817.03,3,Cheese Egg White Omelette,Strawberry and Almond Butter Fruit Smoothie,Blueberry Kale Salad,,
2817.03,4,Chocolate Banana Smoothie,Peanut Butter and Peach Toast,Red Eye Protein Parfait,Spinach and Broccoli Salad,
2817.03,5,Spinach Scrambled Eggs,"Blueberry, Banana, and Strawberry Smoothie",Paleo Avocado Tuna Salad (Tuna in Oil),Oranges,Sardine Salad Sandwich
3175.56,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Classic Fruit Salad,Banana oatmeal smoothie,,
3175,3,Egg-Stuffed Avocado,Yogurt & Apricots,Post-Workout Peanut Butter Shake,,
3175,4,Herb Omelette with Fried Tomatoes,Yogurt & Mango,Oatmeal banana protein shake,"Smoked Salmon, Brie, and Cucumber Bites",
3175,5,Protein Pancake,Cherry Berry Protein Smoothie,Cottage Cheese with Raspberries,Rice Cake with Peanut Butter and Chocolate Chips,Tuna-Avocado Sandwich
3534.09,3,Over Easy Eggs,Fried Rice,Peach Oatmeal Smoothie,,
3534.09,4,"Turkey, Ham, and Avocado on Rye",Protein Berry Crumble,Apple Walnut Parfait,Avocado Tomato Salad,
3534.09,5,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Light Nectarine Yogurt,Corn Tuna Salad,Chocolate Peanut Hazelnut Banana shake,Summer Pepper and Tomato Salad
3892.62,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Rice Cake with Peanut Butter and Chocolate Chips,1000 Calorie Shake,,
3892.62,4,Dark Chocolate Banana Smoothie,"Banana, Berries, and Bittersweet Chocolate Snack",Tuna & White Bean Salad,"Chickpea, Walnut, & Cucumber Yogurt",
3892.62,5,Pumpkin Pecan Oatmeal,Bacon,Classic Tuna Salad,Whey Chocolate Shake,Salmon Wrapped Avocado
1952.75,3,Protein Yogurt and Blueberries,Cantaloupe,Almond Mango Protein Shake,,
1952.75,4,Sticky Bun Chia Seed Pudding,Nonfat yogurt,Chicken and avocado salad,Strawberries,
1952.75,5,Banana & Almond Butter Toast,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Asian Tuna Salad,Apple,"Turkey, Ham, and Avocado on Rye"
2343.3,3,Vegetable 3 Egg Scramble,Nonfat greek yogurt,Apple Spice Protein Shake,,
2343.3,4,Sunrise Smoothie,Buttered Toast with Cinnamon,Quick Avocado Tuna Sandwich,Strawberry and Walnut Spinach Salad,
2343.3,5,Pina Colada Chia Pudding,Yogurt & Applesauce,Raspberries and Blackberries Protein Smoothie,Tomato Basil Layered Salad,"Turkey, Ham, and Avocado on Rye"
2685.03,3,Quinoa and Berries,Yogurt with Cucumber & Lox,"Ham, Mozzarella, and Fig Sandwich on Ciabatta",,
2685.03,4,Mocha Berry Almond Smoothie,Buttered Toast with Cinnamon,Spinach and Apple Salad,Turkey Cottage Cheese Lettuce Wrap,
2685.03,5,Breakfast Parfait,Rice Cakes with Banana & Almond Butter,Chocolate PB & Banana Protein Shake,Tomato and Radish Salad,"Cream Cheese, Lox, and Capers English Muffin"
3026.76,3,Blueberry Protein Oatmeal,Peach and Peanut Butter Snack,Yogurt Chocolate Banana Shake,,
3026.76,4,Vegetable 3 Egg Scramble,Yogurt & Strawberries,Oatmeal Banana Peanut Butter Chocolate Shake,Green Kale Salad,
3026.76,5,"Peanut Butter, Banana, and Oatmeal Pancakes",Chocolate peanut protein shake,Fresh Jicama Salad,Simple Caprese Sandwich,Bacon-Wrapped Trout with Rosemary
3368.49,3,Banana Mash Muscle Muffins,Plum and Greek Yogurt Snack,Paleo Avocado Tuna Salad (Tuna in Water),,
3368.49,4,Avocado and Egg Toast,Light Raspberry yogurt,Strawberry Oatmeal Protein Smoothie,Easy Spinach and Scallion Salad,
3368.49,5,Chocolate PB & Banana Protein Shake,Vegan Breakfast Potatoes,Cilantro Crab & Corn Stuffed Peppers,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Turkey Veggie Hummus Wrap
3710.22,3,1000 Calorie Shake,Strawberries,Chickpea Salad,,
3710.22,4,Turkey and Cheese Omelet,Rice Cake with Peanut Butter and Chocolate Chips,Oatmeal Banana Peanut Butter Chocolate Shake,Peanut Butter & Carrots,
3710.22,5,Spinach Scramble,Apple Pie Kefir Smoothie,Blueberry Kale Salad,Light Nectarine Yogurt,Tuna Apple Salad
1620,3,Spinach and Poached Egg Muffins,"Cucumber, Pineapple, Melon Smoothie","Turkey, Ham, and Avocado on Rye",,
1620,4,Zucchini Hash,Peaches & Almond Butter on Toast,Fruity Almond and Yogurt Smoothie,Maple Pumpkin Cottage Cheese,
1620,5,Egg White Avocado & Tomato Scramble,Turkish Style Zucchini Fritters,Grown-Up PB&J Toast,Tuna in Cucumber Cups,Almonds and Blueberries Yogurt Snack
1944,3,Protein Breakfast Burrito,Yogurt with Apricot and Grapefruit,Mango Protein Shake,,
1944,4,"Egg, Avocado, and Bacon Scramble",Banana,Quick Avocado Tuna Sandwich,Cucumber Boats with Spicy Hummus,
1944,5,Simple Tofu Scramble,Yogurt & Mango,Banana and Berries Smoothie,Green salad,"Turkey, Ham, and Avocado on Rye"
2227.5,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Buttered Toast with Cinnamon,Tuna Salad,,
2227.5,4,"Cottage Cheese, Spinach, and Tomato Omelet",Strawberries,Cilantro Crab & Corn Stuffed Peppers,Mixed Greens with Sun-Dried Tomato Dressing,
2227.5,5,Chocolate Peanut Butter Oatmeal Protein Shake,Buttered Toast,Tuna-Avocado Sandwich,"Turkey, Kale, and Goat Cheese Roll-Up",Light Peanut Butter Mousse
2511,3,Eggs Baked in Avocado,Yogurt & Applesauce,Tropical Green Protein Smoothie,,
2511,4,Fast Oatmeal,Chocolate Avocado Smoothie,Turkey Veggie Hummus Wrap,Light Raspberry yogurt,
2511,5,Coconut Mango Tropical Green Smoothie,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Corn Tuna Salad,Corn Thins and Avocado,Greek Yogurt and Fruit Salad
2794.5,3,Avocado Toast with Cottage Cheese Eggs,Light Raspberry yogurt,Blueberry Shake,,
2794.5,4,Blueberry Oatmeal,Light Nectarine Yogurt,Turkey Veggie Hummus Wrap,Peanut Butter & Carrots,
2794.5,5,Hard Boiled Egg and Avocado Bowl,Honey and Melon Cottage Cheese,Strawberry Protein Yogurt Smoothie,Cauliflower and Tahini,Matcha Green Tea Chia Pudding
3078,3,Morning Salmon Salad,Peanut Butter Bagel,Banana Avocado Protein Smoothie,,
3078,4,Ham and Egg Scramble,Peanut Butter Banana Smoothie,Salmon Salad,Light Raspberry yogurt,
3078,5,Protein Yogurt and Blueberries,Buttered Toast with Cinnamon,Strawberry Banana Protein Shake,Arugula Salad with Grapefruit dressing,Simple Caprese Sandwich
1691.5,3,Peanut Butter Protein Oats,Peaches and Almond Butter on Toast,Strawberry Cottage Cheese Smoothie,,
1691.5,4,Blackberry Yogurt Parfait,Cinnamon Toast,Chocolate Almond Milk Protein Shake,Orange and Pomegranate Salad,
1691.5,5,Scrambled Eggs with Vegetables,Cinnamon Apple Delight,Raspberry Peanut Butter Protein Smoothie,Mixed Greens with Sun-Dried Tomato Dressing,Brie cheese on bread
2029.8,3,Homemade Turkey McMuffins,Light Raspberry yogurt,"Mango, Berry, Flax Smoothie",,
2029.8,4,Peanut Butter Raspberry Oatmeal,Cottage Cheese & Apricots,Turkey Veggie Hummus Wrap,Cucumber Boats with Spicy Hummus,
2029.8,5,Protein Silver Dollar Blueberry Pancakes,Cinnamon Sugar Toast with Sea Salt,Almond Mango Protein Shake,Almonds,Feta Cucumber Boats
2325.81,3,Caprese Eggs and Portabella Mushrooms,Strawberry and Almond Butter Fruit Smoothie,Cilantro Crab & Corn Stuffed Peppers,,
2325.81,4,Banana Peanut Butter Chia Pudding,Very Berry Cottage Cheese,Quick Avocado Tuna Sandwich,Chopped Salad,
2325.81,5,Tofu Scramble and Avocado Toast,Cantaloupe,Strawberry Banana Protein Shake,Asian Avocado,"Turkey, Ham, and Avocado on Rye"
2621.83,3,"""Banana Cream Pie"" Oatmeal",Yogurt & Mango,Oatmeal Banana Peanut Butter Chocolate Shake,,
2621.83,4,Sunrise Smoothie,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Cool Summer Cucumber Chicken and Tomato Toss,Peppers Cucumber & Avocado Salad,
2621.83,5,Hard Boiled Egg and Avocado Bowl,Yogurt & Applesauce,Hummus Avocado Toast,Basic Protein Shake,Sardine Salad Sandwich
2917.84,3,Pumpkin Pecan Oatmeal,PB & Dates Energy Bites,Banana oatmeal smoothie,,
2917.84,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Apples and Almond Butter on Toast,Banana and Berries Smoothie,Rice Cake with Salmon & Dill Spread,
2917.84,5,Hummus Avocado Toast,3 Herb Breakfast Patties,Tuna Salad,Strawberry and Peach Green Smoothie,Simple Caprese Sandwich
3213.85,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Guacamole on Tostada,Oatmeal Banana Peanut Butter Chocolate Shake,,
3213.85,4,Spicy Avocado Toast,Yogurt & Honeydew Melon,Post-Workout Peanut Butter Shake,Easy Cucumber Lemon Salad,
3213.85,5,Vanilla Protein Shake,"Banana, Berries, and Bittersweet Chocolate Snack",Tomato and Hummus Pocket Sandwich,Yogurt & Raisins,Date Wraps
2147.5,3,Smoked Salmon and Mushroom Scramble,Strawberry Pear Juice,Turkey Veggie Hummus Wrap,,
2147.5,4,Seedy Avocado Toast,Cottage Cheese with Apples & Cinnamon,Simple Ham and Lettuce Sandwich,Cantaloupe,
2147.5,5,Avocado & Smoked Salmon Omelet,Light Peach Yogurt,All American Tuna,Easy Spinach and Scallion Salad,Sardine Salad Sandwich
2577,3,Red Eye Protein Parfait,Guacamole on Tostada,Chocolate peanut protein shake,,
2577,4,Sunrise Peanut Butter Berry Protein Smoothie,Brie Toast,Tuna Turmeric Salad,"Chickpea, Walnut, & Cucumber Yogurt",
2577,5,Tarragon and Chive Eggs,Yogurt with Apricot and Grapefruit,Cilantro Crab & Corn Stuffed Peppers,Chopped Salad,"Cream Cheese, Lox, and Capers English Muffin"
2952.81,3,Red Eye Protein Parfait,Cucumber Avocado Toast,Blueberry Almond Butter Protein Smoothie,,
2952.81,4,"""Banana Cream Pie"" Oatmeal",Cottage Cheese & Peaches,Curry Tuna Salad,"Chickpea, Walnut, & Cucumber Yogurt",
2952.81,5,Protein Power Oats,Cinnamon Banana Mug Cake,Blueberry Almond Butter Protein Smoothie,Mixed Greens with Sliced Cucumber and Avocado,Tossed Salad with Artichoke Hearts and Chickpeas
3328.62,3,Peanut Butter and Honey Oatmeal,Yogurt & Strawberries,Paleo Avocado Tuna Salad (Tuna in Oil),,
3328.62,4,Banana oatmeal smoothie,Bacon,Smashed White Bean and Avocado Sandwich,"Smoked Salmon, Brie, and Cucumber Bites",
3328.62,5,Dark Chocolate Banana Smoothie,Toast with Tomato and Hummus,Red Eye Protein Parfait,Spinach Tomato Salad,Tomato and Hummus Pocket Sandwich
3704.44,3,Toasted Chili Pepper Cheese Sandwich,Yogurt & Raisins,Chocolate and Banana Kefir Smoothie,,
3704.44,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Toast with Tomato and Hummus,Red Eye Protein Parfait,Spinach Salad with Blackberries,
3704.44,5,Peanut Butter Banana Oatmeal,Protein-boosted Yogurt,Vanilla Protein Milkshake,Rice Cake with Peanut Butter and Chocolate Chips,Tuna Apple Salad
4080.25,3,Eggs with Onion and Green Pepper,"Maple, Strawberry, and Banana Shake",Caprese Corn Lunch Salad,,
4080.25,4,Spiced Berry Cobbler Oatmeal,Sweet Cottage Cheese & Blue Berries,1000 Calorie Shake,Turkish Style Salad,
4080.25,5,"Peanut Butter, Banana, and Oatmeal Pancakes",Apple Toast,"Berry, Spinach, and Avocado Smoothie",Rice Cake with Peanut Butter and Chocolate Chips,"Ham, Mozzarella, and Fig Sandwich on Ciabatta"
1622.75,3,Egg in a nest,Yogurt & Apricots,Creamy Green Chia Smoothie,,
1622.75,4,Banana Flax Pancakes,Buttered Toast with Cinnamon,Chicken Celery Sticks,Green Kale Salad,
1622.75,5,Breakfast "Sushi",Yogurt with Pumpkin & Cinnamon,Tuna and Hummus,Lime Avocado Milkshake,Chia Cottage Cheese with Blueberries
1947.3,3,Raspberry Peanut Butter Protein Smoothie,Spanish-style Toast with Tomato,Blackberry Yogurt Parfait,,
1947.3,4,Sweet potato bacon and egg salad,"Toast with Berries, Basil & Cream Cheese",Cilantro Crab & Corn Stuffed Peppers,Banana,
1947.3,5,Banana Egg Pancakes,"Toast with Tomato, Onion, & Hummus",Seedy Avocado Toast,Yogurt Artichoke Dip with Rye Crisps,Buffalo Popcorn
2231.28,3,Chocolate Peanut Butter Oatmeal Protein Shake,Cinnamon Banana Mug Cake,Protein Yogurt and Blueberries,,
2231.28,4,Classic Avocado Toast,Yogurt with Almonds & Honey,Strawberry Almond Trim Smoothie,Edamame Slaw,
2231.28,5,Blueberry Almond Butter Oatmeal,Yogurt & Applesauce,Barbecue tuna sandwich,Lebanese Tomato and Onion Salad,"Turkey, Ham, and Avocado on Rye"
2515.26,3,Poached Egg and Crispy Prosciutto Toast,Chocolate Avocado Smoothie,Paleo Avocado Tuna Salad (Tuna in Oil),,
2515.26,4,Tofu Scramble and Avocado Toast,Nonfat yogurt,Blueberry Almond Butter Protein Smoothie,"Turkey, Kale, and Goat Cheese Roll-Up",
2515.26,5,10-Minute Energizing Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Quick Avocado Tuna Sandwich,Spinach and Broccoli Salad,Greek Yogurt and Fruit Salad
2799.24,3,Eggs Baked in Avocado with Bacon,Strawberry and Almond Butter Fruit Smoothie,Almonds and Blueberries Yogurt Snack,,
2799.24,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Yogurt & Mango,Chia Cottage Cheese with Blueberries,Tuna Apple Salad,
2799.24,5,Homemade Turkey McMuffins,Mango Pineapple Smoothie,Tuna Sweetcorn Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Matcha Green Tea Chia Pudding
3083.22,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Avocado Rice Cake,Peach Oatmeal Smoothie,,
3083.22,4,Morning Salmon Salad,Protein Berry Crumble,Tuna Salad,Yogurt with Grapefruit & Honey,
3083.22,5,Dark Chocolate Banana Smoothie,Avocado Rice Cake,Protein Yogurt and Blueberries,Mixed Greens with Sliced Cucumber and Avocado,Date Wraps
2277.5,3,Banana Oat and Peanut Butter Muffin,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Seedy Avocado Toast,,
2277.5,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,PB & Dates Energy Bites,Mango Protein Shake,Sprout Salad,
2277.5,5,Pico de Gallo Egg White Cups,Yogurt with Apricot and Grapefruit,Strawberry Banana Protein Shake,"Blue Cheese, Pecan & Cranberry Stuffed Celery",Trail Mix
2733,3,Blueberry Banana Smoothie,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Smashed White Bean and Avocado Sandwich,,
2733,4,Ham and Egg Scramble,"Blueberry, Banana, and Strawberry Smoothie",Paleo Avocado Tuna Salad (Tuna in Oil),Quick Mint Yogurt,
2733,5,Broccolli Hash with Fried Egg,Yogurt & Pineapple,Chocolate PB & Banana Protein Shake,Cucumber Boats with Spicy Hummus,Trail Mix
3131.56,3,Savory Cr?pes,Cherry Berry Protein Smoothie,Hummus Pocket Sandwich,,
3131.56,4,Chicken & Mayo Bagel,Buttered Toast with Cinnamon,Salmon Salad,Plum and Greek Yogurt Snack,
3131.56,5,Keto Mug English Muffins,Protein Berry Crumble,Red Eye Protein Parfait,Brussels Sprout Slaw,Peanut Butter Berry Pineapple Protein Smoothie
3530.12,3,Red Eye Protein Parfait,Almond Butter Banana Toast,Blueberry Shake,,
3530.12,4,Poached Egg and Ham Toast,Chocolate Peanut Hazelnut Banana shake,Cilantro Crab & Corn Stuffed Peppers,Rice Cake with Peanut Butter and Chocolate Chips,
3530.12,5,Spicy Fried Eggs,Toast with Tomato and Hummus,Red Eye Protein Parfait,Tomato Basil Layered Salad,Chocolate Blueberry Protein Shake
3928.69,3,Mango chia seed pudding,Yogurt & Honeydew Melon,Avocado & White Bean Salad,,
3928.69,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt with Pumpkin & Cinnamon,Blueberry Shake,Asian Avocado,
3928.69,5,Egg and Asparagus Scramble,Cherry Berry Protein Smoothie,Chicken & Vegetable Wrap,Peanut Butter & Celery,Tuna Apple Salad
4327.25,3,Chickpea and Rosemary Frittata,Yogurt & Strawberries,Chocolate and Banana Kefir Smoothie,,
4327.25,4,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Fruit Parfait,Banana oatmeal smoothie,Arugula Salad with Grapefruit dressing,
4327.25,5,Egg Cups,Fried Rice,Simple Ham and Lettuce Sandwich,Tuna Apple Salad,Red Eye Protein Parfait
1697.75,3,Blackberry Almond Butter Sandwich,Yogurt & Banana Chips,Chocolate Blueberry Protein Shake,,
1697.75,4,Egg White Avocado & Tomato Scramble,Peaches and Almond Butter on Toast,"Berry, Spinach, and Avocado Smoothie",Spinach and Broccoli Salad,
1697.75,5,Low Carb Pancakes,Cinnamon Apple and Honey Toast,Grown-Up PB&J Toast,Nonfat yogurt,Chia Cottage Cheese with Blueberries
2037.3,3,Banana Peanut Butter Chia Pudding,Yogurt & Pineapple,Mango Orange Smoothie,,
2037.3,4,Parsley and Tomato Scramble,Light Nectarine Yogurt,Banana and Berries Smoothie,Sliced Turkey Pinwheels,
2037.3,5,Hummus Avocado Toast,Yogurt & Banana Chips,Tuna and Avocado Salad,Strawberry and Peach Green Smoothie,Feta Cucumber Boats
2334.41,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,"Rice Cake with Strawberries, Ricotta & Honey",Apple Walnut Parfait,,
2334.41,4,Multi-grain Toast with Almond Butter and Honey,Protein-boosted Honey Yogurt,Mocha Berry Almond Smoothie,Turkish Style Salad,
2334.41,5,Paleo Tomato and Egg Scramble,"Toast with Tomato, Onion, & Hummus",Tropical Green Protein Smoothie,Avocado Coleslaw,Sardine Salad Sandwich
2631.51,3,Spicy Avocado Toast,Blueberry Yogurt,Banana Almond Shake,,
2631.51,4,Zucchini Hash,Strawberry and Almond Butter Fruit Smoothie,Peach and Blueberry Parfait,Raw Cauliflower Tabouli,
2631.51,5,Scrambled Eggs on Toast with Vegemite and Avocado,Pineapple Cottage Cheese with Lime,Blueberry Almond Butter Protein Smoothie,Avocado Coleslaw,Trail Mix
2928.62,3,Bacon Breakfast Tacos,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Quick and Easy Chicken Salad Sandwich,,
2928.62,4,Vegetable 3 Egg Scramble,Yogurt & Applesauce,Spinach and Apple Salad,Very Berry Cottage Cheese,
2928.62,5,Pepper and Hummus Toast,Protein-boosted Yogurt,Post-Workout Peanut Butter Shake,Cucumber Boats with Spicy Hummus,Matcha Green Tea Chia Pudding
3225.72,3,Cinnamon Protein Oats,Peanut Butter Bagel,Blueberry Almond Butter Protein Smoothie,,
3225.72,4,Grilled Breakfast Pizza,"Toast with Tomato, Onion, & Hummus",Oatmeal Banana Peanut Butter Chocolate Shake,Bell Pepper and Hummus Snack,
3225.72,5,Eggs Baked in Avocado,Yogurt with Pumpkin & Cinnamon,Quick Avocado Tuna Sandwich,Peppers Cucumber & Avocado Salad,Turkey Hummus Wrap
1887.5,3,Keto Mug English Muffins,Whey Chocolate Shake,Seedy Avocado Toast,,
1887.5,4,Blueberry Almond Butter Oatmeal,Nonfat greek yogurt,Chocolate Peanut Butter Oatmeal Protein Shake,Turkey and Avocado Wrap,
1887.5,5,Peanut Butter Protein Oats,Strawberry and Peach Green Smoothie,Blackberry Yogurt Parfait,Chopped Salad,"Toast with Figs, Ricotta, & Sesame Seeds"
2265,3,Cinnamon Almond Oatmeal,Yogurt with Almonds & Honey,"Turkey, Provolone, and Sprout Sandwich",,
2265,4,Spinach Eggs with Salsa,Very Berry Cottage Cheese,"Turkey, corn and tomato wrap",Orange Dream Protein Smoothie,
2265,5,"Sausage, Egg, and Cheese Muffin",Toast with Tomato and Hummus,Mango Orange Smoothie,Tomato Basil Layered Salad,Sardine Salad Sandwich
2595.31,3,Eggs Baked in Avocado,Orange Dream Protein Smoothie,Tuna Salad,,
2595.31,4,Sunrise Peanut Butter Berry Protein Smoothie,Guacamole on Tostada,Quick Avocado Tuna Sandwich,Avocado Citrus Salad with Mint,
2595.31,5,Cinnamon Protein Oats,Apples and Almond Butter,Cilantro Crab & Corn Stuffed Peppers,Strawberry and Walnut Spinach Salad,Peanut Butter Berry Pineapple Protein Smoothie
2925.62,3,Oatmeal Banana Peanut Butter Chocolate Shake,Bacon,Chicken & Vegetable Wrap,,
2925.62,4,Post-Workout Peanut Butter Shake,Turkish Style Zucchini Fritters,Turkey Hummus Wrap,Peppers Cucumber & Avocado Salad,
2925.62,5,Morning Salmon Salad,Apple Slice Sandwich,Asian Tuna Salad,Strawberry Pear Juice,Yogurt Peanut Butter Dip & Apples
3255.94,3,Pumpkin Pecan Oatmeal,Peaches and Almond Butter on Toast,Avocado Breakfast Smoothie,,
3255.94,4,Goat Cheese and Pear Bagel,3 Herb Breakfast Patties,Quick Avocado Tuna Sandwich,Sundried Tomato and Avocado Chopped Salad,
3255.94,5,"Turkey, Goat Cheese, and Spinach Omelet",Rice Cakes with Banana & Almond Butter,Spicy Tuna Salad,Yogurt & Pineapple,Broccoli and Apple Salad
3586.25,3,Banana Mash Muscle Muffins,Yogurt with Walnuts & Honey,Cottage Cheese with Blueberries and Honey,,
3586.25,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Classic Fruit Salad,Peach Oatmeal Smoothie,Fresh Jicama Salad,
3586.25,5,Oatmeal banana protein shake,Cinnamon Sugar Toast with Sea Salt,Cool Summer Cucumber Chicken and Tomato Toss,Ants on a Log,Apple Walnut Parfait
1426.5,3,Tropical Green Fusion Smoothie,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Tuna with Avocado,,
1426.5,4,Scrambled Eggs with Sausage and Feta,Peanut Butter and Peach Toast,Chocolate Almond Milk Protein Shake,Fruit Salad,
1426.5,5,Egg White Spinach Feta Wrap,Avocado Rice Cake,Quick Buffalo Chicken Salad,Cauliflower and Hummus Snack,"Toast with Tomato, Onion, & Hummus"
1711.8,3,Chicken and Dill Protein Scramble,Raspberry Mango Sunrise Smoothie,Turkey Hummus Wrap,,
1711.8,4,Avocado-egg Toast,Honey and Melon Cottage Cheese,Greek Yogurt  with Mixed Berries,Almonds,
1711.8,5,Avocado-egg Toast,Honey and Melon Cottage Cheese,Greek Yogurt  with Mixed Berries,Almonds,Avocado Chickpea Lettuce Wraps
